Age,Gender,Marital Status,Home Ownership,Family member,Education Qualiication,Monthly Income,Monthly Expense,Earning Member,Savings Status,Business Type,Business Location,Residence Area,Bank Account Status,Loan Purpose,Current Business Duration,Business Nature,Dft
18,6,8,9,14,19,12100,10200,3,43,64,68,49,54,59,4,76,0
19,5,8,10,3,18,19500,12900,1,43,63,66,49,54,55,5,79,0
19,6,8,10,2,127,49800,15200,2,44,64,67,50,53,57,3,75,0
19,5,8,11,11,20,22700,37000,10,43,63,67,49,54,57,10,83,0
30,5,7,10,9,22,7100,35700,3,44,63,68,52,54,59,16,85,1
38,6,8,11,11,127,22900,30400,3,44,61,66,51,53,57,1,77,0
33,6,7,11,3,127,31100,9900,5,43,61,67,51,54,59,0,74,0
26,6,8,10,10,127,19000,15900,7,44,62,67,50,54,56,17,74,0
25,5,7,11,7,127,30400,15600,3,44,64,66,50,53,60,0,86,0
24,5,7,11,7,18,12400,4400,5,43,63,68,49,53,59,14,75,1
19,5,7,10,6,21,30300,5000,3,43,63,66,51,53,58,2,79,0
57,5,8,11,15,20,10200,2600,6,44,63,68,50,54,60,29,84,0
29,6,7,11,13,21,12400,12100,7,43,62,67,52,54,56,0,74,0
42,5,8,11,6,127,4500,4400,8,44,62,67,49,54,58,2,80,1
31,6,8,9,10,19,11700,12300,6,43,62,66,51,53,58,2,80,0
37,6,8,9,5,22,45100,20900,8,44,62,65,52,54,56,29,85,0
32,5,8,10,4,17,3300,2000,6,43,61,67,52,54,57,25,75,1
27,5,7,10,5,22,1700,8200,3,43,63,66,52,54,56,5,81,0
31,5,8,10,5,17,3900,8300,2,43,61,65,52,54,55,18,77,0
31,5,8,11,7,20,4000,12600,5,43,63,65,52,54,57,5,75,0
23,5,7,10,3,21,1900,14100,10,44,63,66,52,53,60,14,85,0
35,6,8,9,7,21,10900,14000,7,44,61,65,49,54,58,2,76,0
46,6,8,10,6,21,33200,7500,10,44,64,66,51,53,55,5,75,0
51,6,8,9,7,22,29000,39500,3,43,64,66,51,53,60,0,78,0
43,6,7,11,7,19,37500,13200,8,43,64,65,51,54,60,23,75,0
34,6,7,9,7,21,22800,14500,3,44,62,68,50,54,55,15,81,0
18,6,7,11,10,127,56200,10300,6,44,62,68,52,54,58,8,80,0
22,6,8,11,7,19,6300,7600,4,44,62,66,49,53,58,3,74,0
28,6,7,11,12,21,37200,11600,1,44,61,68,49,53,56,6,85,0
29,5,7,9,10,18,25800,13400,3,44,64,65,49,53,60,10,81,0
61,5,7,9,11,22,6700,6800,4,43,61,65,50,53,56,4,80,0
63,6,8,9,5,19,24500,6600,7,44,62,66,50,54,58,7,74,0
22,6,7,10,9,20,1900,27900,4,43,62,68,52,54,58,9,86,0
61,5,7,11,7,20,29600,13200,10,44,63,66,50,54,59,14,77,0
20,5,7,10,7,18,48900,26900,7,44,64,68,51,54,60,15,75,1
61,6,8,10,5,22,19100,4800,8,43,61,66,51,54,58,10,84,0
30,6,7,11,5,21,13200,8800,8,43,62,68,51,53,59,5,82,0
59,5,8,10,3,19,24900,26300,6,43,61,68,50,54,57,3,84,0
23,5,8,9,11,127,53200,41700,5,44,61,67,52,54,55,2,82,0
44,5,7,11,5,22,40100,10000,6,43,64,66,52,53,58,3,74,0
30,6,8,10,7,127,19700,22500,8,44,64,68,52,54,60,23,77,0
40,5,7,10,10,22,11000,18900,7,43,62,68,49,53,56,3,84,0
36,5,8,10,14,21,22700,11100,7,44,64,65,50,53,60,5,78,0
21,6,7,9,7,22,24700,3400,5,44,62,67,50,54,55,6,75,0
34,6,8,9,6,22,31500,31800,1,44,62,68,51,53,57,18,77,0
25,6,7,9,10,19,19900,13000,8,44,63,65,50,53,57,18,76,0
23,6,8,10,8,17,21500,9700,3,44,64,67,49,54,60,0,81,0
30,6,7,9,14,22,23700,21200,6,43,64,65,49,54,55,8,86,0
30,5,7,11,14,18,4000,11900,8,44,64,66,51,54,59,16,79,0
23,6,7,10,15,22,20900,13000,4,44,61,65,52,53,58,10,82,0
30,6,7,10,8,19,15700,14300,1,44,64,65,50,54,60,3,82,0
25,6,8,10,7,22,9900,6900,4,43,63,68,50,53,55,1,81,0
19,6,7,10,5,19,11400,20100,1,44,63,67,52,53,57,6,82,0
18,5,8,9,15,20,10100,11600,4,44,64,66,50,54,55,28,81,0
19,5,7,10,9,18,2500,13200,2,44,61,67,50,53,59,13,83,0
31,6,8,9,3,19,9900,40700,2,43,63,67,49,54,56,15,76,0
61,5,7,11,4,21,6900,16600,2,44,64,66,51,53,57,0,82,0
43,5,7,10,11,127,21000,2700,3,43,63,68,50,54,60,5,76,1
25,5,7,10,9,21,11400,18800,7,43,64,68,51,53,59,2,81,1
30,5,8,9,3,21,11100,40500,2,44,62,65,50,53,60,2,84,0
41,6,8,9,3,21,2900,24400,4,44,62,66,51,54,58,1,85,0
25,5,8,11,6,22,27300,9500,7,44,63,65,51,53,56,5,78,0
18,5,7,9,4,21,19300,11300,10,44,61,65,50,54,59,14,84,0
34,6,7,10,13,127,56700,1200,10,43,61,65,50,54,57,2,75,0
43,6,8,11,5,17,45100,9800,4,44,64,68,52,53,57,15,74,0
20,6,8,9,12,17,22600,8100,8,44,61,68,52,53,55,6,76,0
18,6,8,9,5,21,1600,11100,2,43,64,65,50,54,59,2,81,0
34,5,7,9,7,127,38400,23000,4,44,63,65,51,54,55,24,80,0
18,5,7,11,5,19,19900,27600,7,44,64,67,51,54,59,5,84,0
32,5,7,9,6,17,16200,3900,6,43,62,68,52,54,59,3,79,0
39,6,8,11,8,127,33500,37300,5,43,61,67,51,54,55,14,82,0
31,5,8,11,2,18,44100,13600,4,44,63,68,51,53,56,23,83,0
40,5,7,11,4,19,23700,15000,4,43,61,67,52,53,57,2,82,0
32,6,7,9,15,17,6400,4500,4,43,62,68,51,53,58,2,82,0
27,6,8,11,7,127,44100,18300,5,43,62,67,49,54,59,10,86,0
26,6,7,9,8,127,55900,2200,4,43,62,67,52,53,60,6,76,0
32,6,8,10,4,18,19400,800,8,44,64,67,49,54,56,13,86,0
20,5,8,10,5,21,37400,12000,10,43,61,66,49,54,57,10,84,0
37,6,8,10,10,17,18500,24100,3,44,64,68,51,53,55,25,81,0
28,6,7,11,6,22,23100,18600,1,43,61,67,50,53,56,0,83,0
27,6,7,9,7,22,6700,7900,10,44,64,66,51,54,57,12,78,0
41,6,7,11,4,18,57300,29200,1,44,63,66,52,53,55,23,81,0
23,6,8,9,5,127,40800,19300,3,43,64,66,49,54,59,9,74,0
20,5,8,10,14,127,9000,1800,7,43,61,67,52,54,59,6,85,1
25,5,8,10,7,19,1500,16200,3,43,61,65,49,53,58,15,81,0
32,6,7,11,2,20,57000,26700,6,43,63,68,50,54,60,2,82,0
30,5,8,11,10,18,31200,14100,3,44,64,65,52,54,55,12,85,0
46,6,8,9,13,17,22100,7300,2,43,61,65,52,53,55,19,86,0
36,6,7,11,15,22,15700,2000,10,44,64,66,49,53,58,4,82,0
63,5,7,11,5,20,3000,15700,7,44,62,66,52,54,60,0,83,0
46,6,8,11,12,18,9700,14300,1,44,62,65,50,54,55,10,75,0
30,6,8,9,3,19,9100,8400,5,43,63,66,49,54,59,6,85,0
30,6,8,10,7,22,47800,19800,3,43,63,65,49,53,58,22,76,0
28,5,7,11,7,22,11400,16600,1,44,64,66,49,53,58,0,85,0
21,6,8,11,2,20,21500,33500,5,43,63,65,51,53,56,2,77,0
30,5,7,9,8,20,13500,35100,8,43,62,65,50,53,58,2,75,0
35,5,8,10,11,127,42100,21500,2,44,64,65,51,54,58,1,86,0
29,5,7,9,2,21,3100,19500,2,44,64,67,51,53,60,1,75,1
24,6,8,11,8,127,7500,800,7,44,63,66,51,53,56,1,85,0
31,6,8,9,5,20,26200,2600,7,44,62,68,49,54,59,12,75,0
32,6,7,9,5,21,17000,3800,2,44,64,65,49,54,59,27,80,0
19,6,7,11,15,127,18600,13000,5,43,62,66,50,53,55,14,80,0
28,5,7,10,3,127,29500,2100,4,44,61,65,49,53,58,2,84,0
39,5,7,9,15,17,53700,4700,5,43,63,67,51,54,59,5,76,0
31,5,7,11,6,22,50000,13200,2,44,63,66,49,54,57,6,79,0
34,6,7,11,9,18,25100,10900,3,44,63,66,49,54,55,15,74,0
28,6,8,9,12,17,27700,16300,4,43,62,67,51,54,56,21,82,0
30,6,7,9,7,17,23200,5000,10,43,62,66,50,53,60,3,82,0
35,5,8,10,11,18,7800,4900,5,43,61,67,51,53,55,3,80,0
23,6,7,10,2,17,45600,20700,2,43,62,68,52,53,60,3,74,0
31,5,8,11,6,22,13800,17600,5,43,62,65,50,53,59,8,85,0
57,5,8,9,6,18,33400,13900,1,44,62,66,49,53,56,0,80,0
44,6,7,10,4,19,30800,20600,1,43,61,65,49,53,55,14,86,0
31,6,8,11,9,19,7500,14800,5,43,63,68,50,54,55,13,83,0
59,6,7,11,15,22,46600,33700,8,44,62,65,50,53,59,3,75,0
27,5,8,10,4,127,3400,1900,3,43,64,65,49,54,58,5,86,1
25,6,8,11,10,21,2900,1100,9,44,62,68,49,54,57,13,83,0
33,6,7,11,13,21,8100,3900,6,44,62,65,50,54,60,1,85,0
25,5,8,11,6,22,26800,1200,7,43,62,66,51,54,55,5,79,0
26,5,7,11,7,18,26300,7700,7,44,64,67,52,53,55,5,79,0
32,5,8,10,13,17,14500,1000,3,43,61,65,51,54,58,11,83,0
18,6,7,9,6,17,44000,3800,3,43,61,68,49,53,57,16,75,0
22,5,8,9,6,17,4300,6900,9,43,63,65,52,54,60,12,86,0
34,5,8,9,12,22,23700,17400,1,44,64,67,50,53,60,1,82,0
28,5,8,9,9,21,14200,13700,3,44,63,65,51,53,57,3,80,0
32,5,8,11,5,20,14800,2600,7,44,64,68,49,54,57,4,86,1
61,6,8,10,8,18,1500,10200,9,43,62,65,52,53,56,10,75,0
20,5,8,10,3,17,17800,11400,1,44,61,68,52,53,59,2,77,0
35,5,8,10,6,22,39800,11600,3,44,61,68,49,54,60,9,79,0
29,5,8,9,6,17,38800,16600,8,44,61,65,51,53,59,10,82,0
42,6,7,11,7,19,18100,3000,5,44,61,68,51,54,57,2,83,0
44,5,7,9,5,127,9700,18600,2,44,61,65,52,53,58,11,84,0
27,6,7,11,2,17,6600,27200,4,43,64,66,51,53,56,7,83,0
32,5,8,11,10,21,58800,40200,7,44,61,66,50,54,57,9,84,0
32,5,7,10,15,18,15300,20700,7,43,64,68,50,53,58,9,79,1
30,5,7,9,10,21,5400,23700,1,43,62,68,51,54,55,15,80,0
33,6,7,9,14,17,19100,7800,2,44,61,67,52,54,59,1,81,0
46,5,7,11,14,127,8300,6400,2,43,64,67,49,53,55,0,81,0
34,6,7,11,3,18,17400,900,7,43,63,67,52,53,59,15,82,0
24,6,8,11,6,127,9900,18800,3,44,64,65,49,54,57,1,83,0
29,5,7,11,5,21,1500,17500,5,43,61,66,51,54,60,5,77,0
34,6,7,11,3,127,17900,12500,4,43,62,68,50,54,59,10,77,0
28,6,7,9,6,17,16000,17000,2,43,61,66,49,53,58,5,75,0
49,6,8,10,5,18,27200,15200,2,43,63,65,50,53,60,18,74,0
43,6,7,10,15,21,33600,4200,3,44,64,68,52,54,57,7,82,0
33,6,7,9,10,17,14900,18000,10,43,64,67,49,54,60,2,75,0
34,5,7,11,7,22,47500,5000,3,43,61,66,51,53,58,22,83,0
24,6,7,9,8,17,1400,10100,3,44,61,67,51,54,60,3,77,0
18,5,7,10,5,22,31900,17600,3,43,64,67,51,53,59,19,74,0
65,5,7,11,7,20,6600,2900,5,43,61,67,50,54,55,4,80,0
35,5,8,11,7,18,34100,6100,5,43,64,66,49,54,60,2,76,0
34,6,8,10,10,22,3700,10800,4,43,61,67,49,53,56,4,75,0
43,6,7,10,9,19,11100,8800,6,43,63,67,49,54,55,0,83,0
51,6,7,10,11,18,3000,17200,8,43,62,65,51,53,60,1,81,0
30,6,7,10,10,22,16800,16700,10,43,61,65,49,53,56,4,77,0
46,5,8,9,5,22,44800,6900,1,44,64,66,49,53,55,5,83,0
60,6,7,11,11,127,7100,5400,10,43,61,66,51,53,55,10,81,0
26,5,7,9,2,17,3900,8600,7,44,62,67,52,54,57,9,76,0
26,5,7,11,5,18,12200,2700,5,44,63,66,50,54,58,7,76,1
29,6,8,10,11,17,37000,16500,7,43,61,65,50,53,55,2,83,0
30,5,8,10,3,18,48300,5000,3,43,62,67,51,54,55,5,80,0
24,6,7,10,13,127,53000,6000,3,43,62,68,51,54,55,15,77,0
35,6,8,11,5,17,23400,41100,3,43,64,68,49,54,55,8,82,0
25,5,7,9,6,20,13600,10300,2,43,61,66,51,54,55,9,75,0
20,6,8,10,5,17,14200,7700,5,43,62,66,52,53,60,0,76,0
34,6,7,9,13,17,32000,11200,2,43,62,65,51,53,56,10,84,0
25,5,8,10,6,18,12900,24400,5,43,61,65,49,53,59,15,86,0
57,5,8,10,15,20,29200,16700,6,43,64,66,49,54,55,15,86,0
18,6,7,10,15,127,50100,18800,5,44,63,68,52,54,57,16,83,0
29,6,7,10,5,17,21600,12500,3,44,64,67,52,54,59,3,77,0
24,6,7,10,11,18,17800,12700,1,43,64,65,52,54,59,4,82,0
50,6,8,10,8,22,14400,6100,3,43,64,67,49,54,60,14,82,0
26,6,7,10,4,17,51000,3100,2,43,63,66,52,53,56,12,78,0
26,6,7,9,7,18,13400,16500,4,44,61,68,51,53,57,1,81,0
45,6,7,11,8,19,49800,12700,4,44,64,67,50,53,56,24,85,0
32,5,7,9,10,19,6500,14000,5,43,61,65,49,53,58,1,75,0
39,6,7,11,9,19,48100,4800,5,43,61,67,51,53,58,8,86,0
49,6,7,10,6,19,18300,4600,8,43,62,67,49,53,55,8,75,0
30,6,7,10,7,17,27300,11800,7,44,61,66,50,54,59,12,77,0
32,6,8,9,8,127,50300,12500,5,44,63,68,49,54,55,2,79,0
34,6,8,11,3,127,6600,16900,8,44,63,67,49,54,57,7,82,0
49,6,8,10,4,18,17100,32700,9,44,62,68,49,54,55,0,76,0
25,5,7,9,7,21,17000,6900,8,43,64,65,52,54,56,2,81,0
35,6,8,9,15,20,9500,1300,7,44,64,66,49,53,55,5,82,0
35,5,8,10,2,127,19400,16600,2,44,62,68,50,53,58,5,79,0
20,6,7,11,8,17,37500,25300,1,44,64,67,50,53,59,10,75,0
23,6,7,9,10,21,26300,14600,7,44,62,65,52,54,59,1,85,0
25,5,7,9,3,19,28100,17900,9,44,62,65,50,54,57,1,80,0
34,5,7,9,5,20,41100,12700,2,44,62,66,49,53,57,14,86,0
32,5,8,11,11,20,18400,40700,1,44,61,65,50,53,60,9,86,0
20,6,8,9,12,22,4900,5000,6,44,63,68,50,54,60,0,76,0
25,5,8,10,6,19,1900,11600,5,44,62,66,51,54,60,12,82,0
24,5,7,11,8,18,41300,8900,1,43,63,68,51,54,60,0,84,0
37,5,8,10,12,19,22100,19400,4,44,63,67,51,54,57,15,82,0
36,6,8,9,7,17,19600,25900,2,43,64,68,52,54,55,8,83,0
18,6,7,10,5,17,7500,18100,3,43,62,68,50,53,55,18,80,0
28,6,8,10,15,20,45700,23200,5,44,61,66,52,54,60,30,84,0
24,6,7,10,10,20,36400,20000,7,43,64,67,52,53,56,0,76,0
33,5,7,10,7,22,33900,13400,5,44,61,67,51,53,59,0,86,0
19,5,8,9,14,21,21100,7800,10,44,64,68,49,53,55,14,81,0
32,6,8,11,9,19,27900,24700,4,44,63,68,50,54,59,24,80,0
56,5,7,10,4,20,27200,26000,9,43,62,68,51,53,55,10,78,0
30,6,8,9,8,127,8600,39900,1,43,64,65,49,53,58,5,81,0
31,6,7,10,8,19,29600,21000,9,44,62,66,50,54,57,4,79,0
59,6,7,10,9,19,18800,28800,10,44,63,66,49,53,57,3,79,0
25,5,8,9,13,20,7500,22000,3,44,62,68,49,54,60,1,76,1
34,5,7,11,11,19,36200,12000,3,44,62,65,52,53,57,5,83,0
24,5,7,10,12,21,6500,27400,8,43,64,68,52,54,57,5,77,1
27,6,8,9,2,127,20100,6900,3,43,62,65,51,53,55,14,84,0
25,6,7,9,10,20,20800,21900,6,43,64,68,52,53,59,3,77,0
27,6,7,10,5,127,55000,2900,9,44,64,68,51,53,59,23,82,0
34,6,7,10,5,22,53200,1000,2,43,61,67,49,53,57,5,86,0
53,5,8,10,7,22,1500,26600,8,44,61,68,49,54,55,22,81,0
18,5,8,10,6,127,20500,16700,2,44,61,67,49,54,55,2,74,0
21,5,8,10,15,127,19800,5300,1,43,63,65,50,54,57,22,79,0
59,5,7,9,5,20,31700,8300,5,43,61,66,50,54,59,14,81,0
32,5,7,11,3,21,23400,6200,5,43,61,66,51,53,59,15,79,0
48,5,7,9,5,17,32700,2900,8,43,64,67,49,53,57,5,80,0
19,6,7,11,4,21,21000,14000,7,43,64,68,50,54,55,16,75,0
18,6,7,9,11,18,34200,11500,1,43,64,68,51,54,59,24,79,0
33,5,7,10,12,21,16600,11500,4,44,64,65,50,54,56,3,85,0
25,6,8,9,4,127,7300,6800,3,43,63,65,50,53,55,9,85,0
34,6,7,11,2,20,18400,18600,3,44,62,68,52,53,55,30,83,0
30,5,7,11,5,19,11700,19700,6,44,61,65,51,53,60,5,79,0
35,5,7,10,5,127,33500,17200,3,43,63,67,51,54,57,6,80,0
39,5,8,9,6,22,23300,6400,5,43,64,68,49,53,60,5,84,0
39,6,8,9,7,19,27900,8500,4,44,64,66,51,54,58,13,85,0
33,5,7,9,4,17,42500,5700,3,43,62,68,50,53,57,2,76,0
25,6,7,9,8,127,20600,7200,7,43,62,66,49,54,58,2,75,0
58,6,8,10,15,22,14900,16000,3,43,61,67,51,53,55,10,79,0
50,6,7,9,9,20,22400,7400,3,43,62,65,49,54,60,4,79,0
25,6,7,9,10,18,12300,27600,3,43,62,67,51,54,55,25,75,0
56,5,8,10,6,127,51500,14900,2,44,63,68,50,54,60,11,85,0
32,6,8,11,5,18,26700,6300,9,44,61,66,51,54,55,0,75,0
22,5,7,9,3,20,35400,19700,5,43,63,65,51,54,56,0,85,0
29,6,7,10,4,19,20800,37500,1,44,64,66,52,54,57,2,79,0
28,5,7,9,2,127,21100,19200,2,43,61,67,52,54,58,21,78,0
32,5,7,9,9,19,6400,15900,3,44,64,65,51,53,57,5,85,0
18,6,7,9,7,21,24300,19500,3,43,62,67,51,54,59,3,83,0
25,5,7,10,9,17,26000,21000,6,44,62,65,50,54,60,9,80,0
19,5,8,11,10,21,23800,5300,3,44,61,65,51,54,60,15,79,0
30,6,7,11,5,19,36000,37800,1,44,63,68,49,54,58,21,84,0
28,5,7,10,7,127,3000,6400,7,44,64,68,52,53,59,12,74,1
23,6,8,11,9,20,3800,13900,5,43,62,68,50,53,60,2,82,0
25,5,8,9,12,17,11200,20200,5,44,61,66,50,53,59,6,76,1
30,5,8,11,9,19,14500,30500,2,43,63,67,52,53,60,13,86,1
32,6,7,10,11,18,56700,1300,3,43,63,66,49,54,57,17,85,0
25,5,7,9,15,17,7800,9500,4,43,63,67,49,53,58,8,78,0
36,5,7,10,5,20,58800,17400,4,43,64,65,50,54,55,1,74,0
25,6,8,10,5,127,9100,10200,3,43,61,68,49,54,56,2,80,0
32,5,8,9,6,17,3400,29400,3,43,63,65,49,53,55,3,85,0
54,6,8,10,8,127,38800,32800,3,44,64,66,50,54,56,2,77,0
22,6,7,11,7,18,48000,17200,6,44,62,68,52,53,58,11,75,0
30,5,7,11,5,19,12500,13800,2,43,62,67,52,53,56,2,83,0
46,5,8,11,6,20,40200,26000,5,44,62,66,52,54,60,2,77,0
65,5,7,10,4,19,12900,6200,2,44,61,66,52,54,57,9,86,0
28,6,8,11,4,18,17100,26300,9,43,63,68,51,53,57,22,78,0
31,5,8,9,5,21,30300,17600,5,43,62,65,50,54,59,10,84,0
30,6,7,11,6,127,22000,18900,10,43,63,66,50,54,60,7,82,0
29,5,8,10,7,19,57100,4300,9,44,63,67,51,54,56,6,83,0
32,6,8,11,9,19,22800,3800,10,43,63,68,52,53,59,13,86,0
34,6,7,11,6,21,26600,20300,2,43,63,68,50,54,57,15,81,0
29,6,7,11,10,22,24000,19400,5,43,61,66,52,53,60,21,82,0
30,5,8,11,10,18,51300,31500,9,43,64,68,52,54,58,8,75,1
51,6,7,10,3,20,30900,10200,7,44,64,66,52,54,56,1,78,0
32,6,7,10,5,22,16100,2900,5,44,63,67,51,53,60,15,74,0
20,6,8,10,2,21,19800,39000,2,44,63,66,52,54,56,13,84,0
20,5,8,11,12,20,10100,38600,5,44,63,68,49,54,59,15,80,1
25,6,7,11,5,20,5800,7800,4,44,63,66,50,54,59,10,85,0
30,6,8,11,4,19,59200,10100,5,43,62,66,50,54,60,6,77,0
30,6,8,11,2,20,6300,7900,6,44,62,66,50,54,59,18,77,0
42,6,7,11,6,17,19700,16700,2,43,62,65,49,54,56,14,85,0
24,5,8,11,9,19,27700,17400,5,44,64,67,50,54,58,20,81,0
34,6,8,11,6,17,20600,13100,10,43,63,65,50,54,55,5,85,0
38,6,7,9,7,18,56300,15000,3,43,63,65,50,53,55,21,77,0
19,6,8,9,5,20,16600,20900,6,43,64,66,50,54,57,6,78,0
31,6,8,9,5,20,49800,17600,9,44,62,67,52,53,56,5,85,0
31,5,8,9,14,22,39100,10400,3,43,63,66,51,54,58,2,74,0
28,6,7,11,5,127,10500,17900,10,44,64,68,52,54,57,11,83,0
62,6,7,10,6,20,14100,2900,3,44,63,67,50,54,57,19,78,0
30,6,7,11,6,127,51500,2500,6,44,64,66,49,54,56,5,80,0
19,6,7,11,7,20,29700,8600,8,44,63,68,49,53,58,4,75,0
46,6,7,11,15,18,48000,14800,10,44,61,66,52,54,57,11,80,0
51,5,7,10,5,17,22400,20600,7,43,62,68,50,54,56,20,84,0
28,5,8,10,7,20,40900,800,8,44,64,65,51,53,55,12,84,0
19,5,7,10,7,20,47600,6700,6,44,64,68,49,54,56,0,84,0
27,5,8,10,10,21,25200,17600,3,43,61,67,50,53,56,5,76,0
32,5,8,9,9,19,7800,2500,1,44,63,65,49,53,56,11,86,0
24,5,7,9,12,19,12700,36800,4,43,62,65,52,54,55,19,76,0
22,5,7,9,5,18,34300,26400,3,44,62,67,49,53,59,2,85,0
29,6,8,9,6,19,16900,3200,2,44,61,68,51,54,55,12,84,0
55,5,8,11,13,18,28000,11800,9,44,64,67,52,53,57,11,78,0
56,6,7,10,7,22,47300,12900,7,43,63,66,50,54,56,15,77,0
62,6,7,10,7,22,15400,1500,3,43,62,65,50,54,59,6,74,0
33,6,7,9,6,21,11300,14300,5,43,62,66,52,53,60,15,79,0
21,6,8,9,6,20,1600,9700,8,43,61,65,49,54,60,2,85,0
48,6,7,10,15,19,57100,24900,1,44,61,65,49,53,60,2,75,0
31,5,8,9,7,22,13800,13700,10,44,61,68,51,54,55,0,74,0
25,5,7,10,7,17,18400,2000,4,43,63,66,49,54,60,14,86,0
30,5,7,10,6,22,34100,4400,4,44,64,65,52,53,59,10,74,0
36,5,8,11,15,18,39800,34400,3,43,61,67,52,53,57,6,86,0
39,5,8,10,15,18,43600,20400,5,43,62,65,50,54,60,19,76,0
25,5,8,11,14,127,58600,34000,9,44,63,67,50,54,55,0,85,0
22,6,7,10,6,22,56300,15900,7,43,62,65,51,53,59,1,76,0
50,5,7,11,8,20,11800,20200,6,43,61,66,49,54,58,19,76,0
26,6,8,11,10,127,26000,23300,5,43,61,66,49,53,55,25,77,0
30,5,7,11,5,19,9000,15700,1,43,61,67,51,54,58,13,85,0
20,6,7,11,5,17,7300,23200,3,43,61,66,49,53,58,12,75,0
34,5,8,9,10,127,31900,5300,4,43,61,67,52,54,59,15,86,0
54,6,7,11,7,17,27800,29400,9,43,63,65,50,54,55,22,80,0
27,6,8,11,3,22,30300,41000,5,44,63,66,50,54,56,24,77,0
26,5,8,10,3,19,23000,33000,6,44,62,68,51,53,58,15,82,0
23,5,8,10,7,19,29900,4600,10,44,63,66,51,54,56,9,84,0
35,5,8,11,12,20,5300,15200,3,43,64,65,49,53,58,3,78,0
61,5,8,10,6,18,36800,19000,2,43,62,67,52,53,57,11,84,0
28,6,7,11,10,18,8700,33300,3,43,63,68,52,54,58,28,74,0
35,5,8,9,3,19,3600,7400,3,43,63,66,49,53,57,2,81,0
50,5,7,10,3,17,28200,9700,7,43,63,67,50,54,58,10,81,0
30,5,7,10,15,20,5100,40700,7,44,62,65,52,54,60,5,76,1
25,5,7,10,7,19,3500,6800,10,43,61,66,52,54,55,13,82,0
32,5,7,10,5,127,58000,41700,6,43,63,68,52,54,59,11,77,0
30,5,8,11,3,22,13600,14800,7,43,64,68,52,54,58,12,76,0
32,6,7,10,7,127,10500,16900,5,44,63,67,49,53,60,6,86,0
18,6,7,11,15,20,13900,4800,4,43,61,67,51,53,60,13,77,0
27,6,8,10,7,18,18200,9200,4,43,63,66,49,53,59,17,83,0
24,5,8,10,9,20,21800,16700,9,44,63,67,49,54,57,8,80,0
51,6,8,11,10,22,47100,25800,7,43,62,66,51,54,59,2,85,0
22,6,7,10,13,17,20000,17600,5,44,64,67,49,53,56,3,85,0
18,6,7,11,9,127,58700,15400,7,44,62,66,51,53,58,23,84,0
29,5,7,11,4,19,27100,11000,5,43,62,66,49,53,56,10,79,0
20,6,8,9,7,127,12000,2800,7,44,62,65,50,54,60,13,86,0
35,5,8,10,11,17,9800,18800,7,43,62,66,49,53,56,4,81,0
